u_apercor	g_apercor	r_apercor	i_apercor	z_apercor	y_apercor
24.5704	23.7940	23.3103	23.1726	23.1486	23.3907
24.4189	24.1717	23.5712	23.3951	23.3471	23.2712
24.2672	24.1262	23.8008	23.2209	22.8323	23.1363
24.0415	23.6896	23.2314	22.5669	22.3843	22.3961
23.9604	23.3822	22.5819	21.7680	21.5022	21.2304
24.5319	23.5909	22.8965	22.5423	22.3764	22.3459
22.0929	21.6939	20.9086	20.6633	20.5588	20.2862
24.1083	23.5437	23.0975	23.0178	22.9909	23.2527
23.1997	22.3435	21.9188	21.7066	21.6527	21.5095
24.1617	23.6309	23.0459	22.3206	22.0876	21.9475
22.6869	21.8467	21.3703	21.1661	21.0966	21.0580
23.8920	23.5920	23.0479	22.4453	22.2308	22.5419
22.5724	22.1180	21.3386	20.8105	20.6200	20.4351
20.6240	19.7624	18.7847	18.4053	18.1242	18.3978
23.7235	23.4927	22.8691	22.4820	22.4234	22.6076
23.0822	22.9786	22.7291	22.2997	21.9425	21.8307
23.0549	22.9332	22.7951	22.6081	22.1880	21.7058
25.1785	24.2421	23.3357	22.3599	22.0198	21.8283
22.0345	21.2983	20.4840	20.1774	19.9557	19.9188
23.5364	21.4547	19.9378	19.0046	18.6637	18.7895
26.3988	24.9325	23.1496	21.9327	21.0369	20.6348
22.1166	21.5653	20.7188	20.3867	20.1942	20.0851
25.6640	23.6130	22.1380	21.0247	20.6561	20.5302
23.7951	21.9302	20.4216	19.6610	19.3419	19.2461
23.4570	23.4210	23.3618	23.0014	22.7733	23.1327
22.6359	21.9033	21.0449	20.7537	20.5784	20.6604
22.5015	22.0890	21.3741	20.9569	20.8530	20.7073
22.9236	21.9048	21.4560	21.2455	21.1153	21.3345
21.4418	20.8616	20.1953	19.9879	19.7707	19.7312
23.7856	22.9101	21.8390	21.3587	21.0693	20.9472
22.9088	22.3036	21.3641	20.8962	20.6713	20.4487
23.1560	22.9999	22.8182	22.2290	22.0801	22.2329
24.5051	24.0192	23.3917	22.7384	22.5841	22.5299
22.6215	22.0925	21.2245	20.8595	20.6632	20.4172
23.0724	22.7099	22.2913	21.6898	21.4920	21.5095
22.8057	21.6345	20.7772	20.3351	20.0446	20.0894
20.5269	19.6619	19.0501	18.6838	18.4693	18.5651
22.6441	22.6229	22.6278	22.3393	22.1531	22.1786
24.9471	24.6569	23.8671	23.5890	23.5290	23.4428
25.6749	23.7166	22.1729	20.9513	20.5034	20.3905
22.9112	22.6010	22.0133	21.5556	21.4379	21.3829
22.4803	22.0656	21.2248	20.9240	20.8254	20.6339
19.9097	19.1967	18.9360	18.6579	18.6496	18.5036
24.9528	24.1045	23.0216	22.2313	21.8832	22.2755
25.3096	23.4514	21.9949	20.8405	20.4674	20.3066
24.6681	24.3505	23.7306	23.0234	22.7103	22.7566
23.1345	22.6467	22.1122	21.3934	21.0537	22.1660
